sku,descricao,gross_price,price,pagamento,date,day,hour
1306,Nina Nina Ricci - Perfume Feminino - Eau de Toilette,,"119,00","3x de R$ 39,66",2020-05-06 21:15:09.934161,05/06/20,21:15:09
1195,Miss Vodka Paris Elysees - Perfume Feminino - Eau de Toilette,"69,00","55,20",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
686,Kenzo Amour Kenzo - Perfume Feminino - Eau de Parfum,"249,80","212,33","7x de R$ 30,33",2020-05-06 21:15:09.934161,05/06/20,21:15:09
514,Hypnotic Poison Dior - Perfume Feminino - Eau de Toilette,,"425,00","10x de R$ 42,50",2020-05-06 21:15:09.934161,05/06/20,21:15:09
39217,Olympéa Onyx Paco Rabanne Perfume Feminino EDP,,"499,00","10x de R$ 49,90",2020-05-06 21:15:09.934161,05/06/20,21:15:09
39151,Flower by Kenzo Poppy Bouquet Kenzo Perfume Feminino - EDP,"259,00","220,15","7x de R$ 31,45",2020-05-06 21:15:09.934161,05/06/20,21:15:09
38968,Neon Man Colcci Perfume Feminino EDT,"119,90","101,92","3x de R$ 33,97",2020-05-06 21:15:09.934161,05/06/20,21:15:09
38897,Mon Guerlain Bloom of Rose - Guerlain Perfume Feminino EDP,,"265,00","8x de R$ 33,12",2020-05-06 21:15:09.934161,05/06/20,21:15:09
38820,La Belle Jean Paul Gaultier Perfume Feminino EDP,,"439,00","10x de R$ 43,90",2020-05-06 21:15:09.934161,05/06/20,21:15:09
38791,United Dreams Citrus for Her Benetton – Perfume Feminino EDT,,"119,00","3x de R$ 39,66",2020-05-06 21:15:09.934161,05/06/20,21:15:09
37560,Sky Di Gioia Giorgio Armani - Perfume feminino Eau de Parfum,,"368,80","10x de R$ 36,88",2020-05-06 21:15:09.934161,05/06/20,21:15:09
35843,Angel Eau Croisiere Mugler  Pefume Feminino-Eau de Toillete,"429,00","299,80","9x de R$ 33,31",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34765,Meteorites Le Parfum Guerlain - Perfume Feminino Eau de Toilette,,"359,90","10x de R$ 35,99",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34749,Insolance Guerlain - Perfume Feminino Eau de Toilette,,"299,90","9x de R$ 33,32",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34740,La Petite Robe Noire Guerlain - Perfume Feminino Eau de Toilette,,"250,00","8x de R$ 31,25",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34738,Mon Guerlain - Perfume Feminino Eau de Toilette,,"230,00","7x de R$ 32,85",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34737,Mon Guerlain Florale - Perfume Feminino Eau de Parfum,,"264,90","8x de R$ 33,11",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34733,Aqua Allegoria Flora Cherrysia Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34732,Aqua Allegoria Passiflora Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34731,Aqua Allegoria Pamplelune Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34730,Aqua Allegoria Bergamota Calabria Guerlain - Perfume Feminino Eau de Toilette,,"334,90","10x de R$ 33,49",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34230,Wanted Girl Azzaro - Perfume Feminino Eau de Parfum,"278,90","223,12","7x de R$ 31,87",2020-05-06 21:15:09.934161,05/06/20,21:15:09
34213,Have Fun La Rive Perfume Feminino - Eau de Parfum,"39,90","33,92",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
33148,Animale Seduction Femme Animale - Perfume Feminino - Eau de Parfum,,"169,00","5x de R$ 33,80",2020-05-06 21:15:09.934161,05/06/20,21:15:09
32683,Kenzo World Collector Kenzo Perfume Feminino - Eau de Toilette,"378,90","227,34","7x de R$ 32,47",2020-05-06 21:15:09.934161,05/06/20,21:15:09
32370,Her Golden Secret Antonio Banderas - Perfume Feminino - Eau de Toilette,,"98,90","3x de R$ 32,96",2020-05-06 21:15:09.934161,05/06/20,21:15:09
31898,Majestic Esmeralda Fiorucci Perfume Feminino - Deo Colônia,"49,90","44,91",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
30727,Prerogative Britney Spears - Perfume Feminino Eau de Parfum,"149,00","126,65","4x de R$ 31,66",2020-05-06 21:15:09.934161,05/06/20,21:15:09
30395,Dolce & Sense Muguet Paris Elysees Perfume Feminino - Eau de Parfum,"49,90","37,43",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
30336,La Vida Ciclo Cosméticos Perfume Feminino - Deo Colônia,"59,90","50,92",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
29451,Pure XS For Her Paco Rabanne - Perfume Feminino Eau de Parfum,,"298,90","9x de R$ 33,21",2020-05-06 21:15:09.934161,05/06/20,21:15:09
26390,Jimmy Choo Fever Perfume Feminino Eau de Parfum,"299,00","237,90","7x de R$ 33,98",2020-05-06 21:15:09.934161,05/06/20,21:15:09
25317,La Femme L'Eau Prada -  Perfume Feminino - Eau de Toilette,"318,90","255,12","8x de R$ 31,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
22385,Lovely Night Puccini Perfume Feminino - Eau de Parfum,"185,00","157,15","5x de R$ 31,43",2020-05-06 21:15:09.934161,05/06/20,21:15:09
22035,Dylan Blue Pour Femme Versace - Perfume Feminino Eau de Parfum,"289,00","245,65","8x de R$ 30,70",2020-05-06 21:15:09.934161,05/06/20,21:15:09
21725,Splendeur Paris Fiorucci - Perfume Feminino - Deo Colônia,"49,90","42,42",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
20576,Coup D’Amour Real Time Perfume Feminino - Eau de Parfum,"59,00","41,30",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
20495,Because it's You She Giorgio Armani Perfume Feminino - Eau de Parfum,,"288,90","9x de R$ 32,10",2020-05-06 21:15:09.934161,05/06/20,21:15:09
19972,Kenzo World Kenzo Perfume Feminino - Eau de Toilette,"328,90","230,23","7x de R$ 32,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
19203,Dream Ana Hickmann - Perfume Feminino - Deo Colônia,"79,90","51,94",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
18509,She Is Mine La Rive Perfume Feminino - Eau de Parfum,"69,90","54,90",,2020-05-06 21:15:09.934161,05/06/20,21:15:09
18048,Dance Diamonds Shakira - Perfume Feminino Eau de Toilette,,"79,90","2x de R$ 39,95",2020-05-06 21:15:09.934161,05/06/20,21:15:09
18046,Scandal Jean Paul Gaultier - Perfume Feminino Eau de Parfum,,"548,90","10x de R$ 54,89",2020-05-06 21:15:09.934161,05/06/20,21:15:09
